2019-08-09 10:30:18,273 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 75]
2019-08-09 10:30:18,310 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 76]
2019-08-09 10:30:18,338 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 77]
2019-08-09 10:30:18,361 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 78]
2019-08-09 10:30:18,380 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 79]
2019-08-09 10:30:18,514 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 80]
2019-08-09 10:30:18,602 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 81]
2019-08-09 10:30:18,638 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 3, ' p ', 0.53527105, ' total_step ', 82]
2019-08-09 10:30:18,713 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  1]), ' v ', -0.6227402, ' a ', 0, ' p ', 0.52635247, ' total_step ', 83]
2019-08-09 10:30:18,751 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 0, ' p ', 0.5337491, ' total_step ', 84]
2019-08-09 10:30:18,786 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 0, ' p ', 0.5337491, ' total_step ', 85]
2019-08-09 10:30:18,808 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 2, ' p ', 0.5337491, ' total_step ', 86]
2019-08-09 10:30:18,839 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 2, ' p ', 0.5337491, ' total_step ', 87]
2019-08-09 10:30:18,860 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 2, ' p ', 0.5337491, ' total_step ', 88]
2019-08-09 10:30:18,891 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 2, ' p ', 0.5337491, ' total_step ', 89]
2019-08-09 10:30:18,959 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 0, ' p ', 0.5337491, ' total_step ', 90]
2019-08-09 10:30:19,038 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 0, ' p ', 0.5337491, ' total_step ', 91]
2019-08-09 10:30:19,124 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([15,  1]), ' v ', -0.6951478, ' a ', 1, ' p ', 0.5337491, ' total_step ', 92]
2019-08-09 10:30:19,225 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  1]), ' v ', -0.6227402, ' a ', 2, ' p ', 0.52635247, ' total_step ', 93]
2019-08-09 10:30:19,258 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 94]
2019-08-09 10:30:19,294 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 95]
2019-08-09 10:30:19,322 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 96]
2019-08-09 10:30:19,342 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 97]
2019-08-09 10:30:19,367 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 98]
2019-08-09 10:30:19,388 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 99]
2019-08-09 10:30:19,404 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 100]
2019-08-09 10:30:19,425 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 101]
2019-08-09 10:30:19,447 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 102]
2019-08-09 10:30:19,471 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 103]
2019-08-09 10:30:19,493 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 104]
2019-08-09 10:30:19,521 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 105]
2019-08-09 10:30:19,544 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 1, ' p ', 0.53527105, ' total_step ', 106]
2019-08-09 10:30:19,572 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 0, ' p ', 0.5164412, ' total_step ', 107]
2019-08-09 10:30:19,604 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 108]
2019-08-09 10:30:19,626 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 109]
2019-08-09 10:30:19,660 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 110]
2019-08-09 10:30:19,682 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 111]
2019-08-09 10:30:19,702 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 112]
